Query,T1,T2,T3,T40,Tot Score,T1 Score,T2 Score,T3 Score,T40 Score
1,10,16,3,15,154,46,4,104,0
2,39,21,34,15,45,7,13,25,83
3,4,38,24,15,161,160,0,1,0
4,3,8,1,15,269,164,61,44,0
5,6,7,23,12,246,176,69,1,0
6,11,5,7,22,277,37,166,74,0
7,9,11,40,37,163,122,34,7,0
8,3,19,24,15,126,126,0,0,0
9,7,11,14,37,170,133,22,15,0
10,1,16,3,15,227,72,137,18,0
11,9,7,6,37,260,48,79,133,0
12,2,9,14,37,188,20,37,131,0
13,14,11,9,15,141,119,0,22,7
14,9,39,7,26,76,38,15,23,0
15,7,6,11,36,170,36,127,7,0
16,1,10,3,15,136,18,103,15,90
17,28,33,25,12,1,0,1,0,0
18,35,25,28,15,39,39,0,0,0
19,38,24,36,15,170,36,107,27,0
20,23,40,25,12,147,86,60,1,0
21,2,34,39,15,39,0,2,37,0
22,34,36,19,15,74,8,50,16,0
23,40,28,20,12,64,13,5,46,0
24,36,32,19,15,166,15,29,122,0
25,28,17,40,15,120,104,7,9,3
26,6,7,9,37,1,0,1,0,0
27,30,38,3,15,26,15,0,11,0
28,33,17,25,12,199,62,4,133,0
29,30,34,19,15,184,175,7,2,0
30,29,34,32,15,179,171,5,3,0
31,27,1,32,15,243,86,0,157,0
32,24,33,34,15,52,36,16,0,0
33,28,17,25,15,126,69,20,37,0
34,24,33,22,15,121,1,13,107,0
35,28,23,18,12,128,2,16,110,0
36,24,38,19,15,100,9,61,30,0
37,24,32,36,15,190,45,2,143,0
38,19,36,3,15,161,59,99,3,0
39,34,2,25,15,13,10,3,0,2
40,23,25,28,12,30,12,5,13,2
