Query,T1,T2,T3,T40,Tot Score,T1 Score,T2 Score,T3 Score,T40 Score
1,20,29,8,26,150,0,0,150,0
2,26,36,37,8,34,26,0,8,1
3,35,39,18,7,0,0,0,0,0
4,29,22,39,25,0,0,0,0,0
5,32,31,6,14,176,0,0,176,0
6,32,28,31,14,0,0,0,0,0
7,25,6,34,13,103,0,103,0,2
8,1,20,29,26,151,151,0,0,0
9,28,6,5,14,107,0,87,20,15
10,25,28,30,12,0,0,0,0,4
11,32,28,6,14,134,0,1,133,0
12,14,29,20,10,131,131,0,0,7
13,18,22,29,7,7,0,2,5,11
14,12,18,20,25,116,116,0,0,0
15,13,20,18,6,0,0,0,0,127
16,4,15,26,6,112,22,90,0,48
17,38,18,22,2,160,0,157,3,0
18,17,29,22,5,137,134,0,3,0
19,38,18,17,5,121,36,60,25,0
20,29,38,18,5,17,0,0,17,1
21,30,40,17,16,55,3,0,52,0
22,29,39,18,5,100,64,24,12,0
23,17,18,38,2,116,49,67,0,0
24,23,35,21,2,120,112,2,6,0
25,37,26,33,14,199,0,156,43,0
26,2,25,36,8,170,10,158,2,0
27,33,37,32,14,142,7,14,121,0
28,32,33,6,14,63,0,62,1,0
29,22,38,18,5,74,63,9,2,0
30,21,39,37,16,60,40,19,1,0
31,32,6,28,14,164,157,0,7,0
32,31,28,6,14,113,111,2,0,0
33,40,30,21,14,78,45,9,24,0
34,40,37,30,14,51,12,21,18,0
35,39,21,18,7,151,21,20,110,0
36,37,30,35,7,166,100,2,64,0
37,30,36,21,16,148,3,143,2,2
38,17,29,18,2,22,0,19,3,0
39,35,22,18,7,101,36,57,8,1
40,21,30,39,16,20,7,0,13,3
