Query,T1,T2,T3,T40,Tot Score,T1 Score,T2 Score,T3 Score,T40 Score
1,3,8,10,26,300,104,150,46,0
2,6,14,12,26,54,21,19,14,26
3,1,8,10,26,176,69,92,15,0
4,7,9,16,26,24,5,0,19,0
5,31,15,7,26,99,0,30,69,0
6,2,14,20,26,1,1,0,0,0
7,16,9,13,26,126,2,122,2,0
8,1,3,10,26,289,151,126,12,0
9,16,11,7,26,163,8,22,133,0
10,1,3,8,26,107,72,18,17,0
11,9,16,7,26,133,48,6,79,0
12,14,15,31,26,141,131,10,0,0
13,7,16,9,26,38,11,5,22,0
14,12,15,2,26,173,116,48,9,0
15,31,5,12,26,42,0,42,0,0
16,9,7,11,26,25,18,4,3,0
17,38,25,24,10,3,0,0,3,0
18,23,38,32,10,61,52,0,9,0
19,24,38,39,26,143,107,36,0,1
20,6,22,2,10,51,0,51,0,0
21,29,34,25,10,27,25,2,0,0
22,35,34,29,10,73,1,8,64,0
23,18,38,17,26,116,67,0,49,1
24,19,38,17,26,141,122,13,6,2
25,17,28,24,10,111,7,104,0,0
26,30,35,29,10,25,0,25,0,0
27,4,40,9,26,2,2,0,0,0
28,25,40,24,10,157,133,23,1,0
29,21,34,22,10,108,38,7,63,0
30,29,21,35,10,212,171,40,1,0
31,5,15,7,26,0,0,0,0,2
32,34,38,17,10,16,0,1,15,0
33,32,18,23,10,39,15,22,2,0
34,21,29,22,10,191,36,48,107,0
35,22,29,37,10,9,4,1,4,0
36,29,25,22,10,49,5,3,41,0
37,35,36,22,10,172,20,143,9,1
38,24,17,19,26,86,27,0,59,2
39,19,38,40,26,67,5,60,2,0
40,24,28,39,26,26,0,13,13,4
